subject_id,label,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,is_synthetic
ET_01,other,0.0,0.12772,0.3369,0.92863,0.185,19.687,-1.31,True
ET_01,other,0.01,0.22609,0.33706,0.97178,11.993,17.584,5.755,True
ET_01,other,0.02,0.30357,0.30095,1.00858,21.907,10.597,10.396,True
ET_01,other,0.03,0.33961,0.24224,1.03852,26.798,1.554,13.467,True
ET_01,other,0.04,0.34017,0.16959,1.0147,23.955,-5.277,12.723,True
ET_01,other,0.05,0.31491,0.08626,1.00336,18.651,-14.424,8.273,True
ET_01,other,0.06,0.21496,0.04933,0.953,7.784,-19.944,2.983,True
ET_01,other,0.07,0.08474,0.08518,0.91787,-5.952,-19.013,-4.488,True
ET_01,other,0.08,0.01118,0.08393,0.95239,-16.802,-15.344,-8.082,True
ET_01,other,0.09,-0.00477,0.12249,0.86726,-24.361,-7.444,-11.889,True
ET_01,other,0.1,-0.0591,0.22616,0.87522,-28.18,0.899,-13.128,True
ET_01,other,0.11,-0.01647,0.30067,0.88479,-23.885,11.412,-11.531,True
ET_01,other,0.12,0.03095,0.32582,0.90229,-14.53,17.463,-7.17,True
ET_01,other,0.13,0.15434,0.35884,0.93289,-2.164,19.71,-1.963,True
ET_01,other,0.14,0.22038,0.3254,0.99442,10.457,19.428,5.006,True
ET_01,other,0.15,0.30611,0.31767,1.01734,21.576,13.523,10.312,True
ET_01,other,0.16,0.36787,0.24635,1.03937,28.146,4.117,13.034,True
ET_01,other,0.17,0.33502,0.18922,1.03136,26.796,-4.834,14.799,True
ET_01,other,0.18,0.34324,0.10192,1.00566,21.219,-13.923,10.337,True
ET_01,other,0.19,0.19267,0.05704,0.98263,9.76,-19.902,4.608,True
ET_01,other,0.2,0.13412,0.03803,0.92475,-2.321,-20.662,-1.432,True
ET_01,other,0.21,0.05927,0.07479,0.95102,-15.638,-16.62,-7.39,True
ET_01,other,0.22,-0.03129,0.15499,0.88776,-23.487,-10.667,-12.732,True
ET_01,other,0.23,-0.04103,0.19359,0.86783,-29.529,-0.082,-12.962,True
ET_01,other,0.24,-0.04663,0.27775,0.89726,-25.199,8.845,-13.323,True
ET_01,other,0.25,0.0397,0.32091,0.89576,-16.53,15.992,-9.176,True
ET_01,other,0.26,0.12509,0.37098,0.92895,-4.488,19.355,-3.324,True
ET_01,other,0.27,0.25777,0.37773,0.94566,8.228,19.078,5.062,True
ET_01,other,0.28,0.32208,0.30067,0.99818,19.895,15.785,9.16,True
ET_01,other,0.29,0.34848,0.23248,0.99077,28.1,7.681,13.883,True
ET_01,other,0.3,0.34811,0.17086,1.03732,27.699,-2.802,12.741,True
ET_01,other,0.31,0.31428,0.09528,1.00587,23.574,-14.192,12.318,True
ET_01,other,0.32,0.26496,0.05914,0.98249,13.269,-19.955,6.535,True
ET_01,other,0.33,0.16708,0.04971,0.93082,-1.52,-21.001,0.566,True
ET_01,other,0.34,0.05541,0.06673,0.92881,-14.248,-18.469,-6.891,True
ET_01,other,0.35000000000000003,-0.03265,0.09629,0.88118,-23.585,-12.065,-10.963,True
ET_01,other,0.36,-0.06795,0.19589,0.85491,-28.453,-1.38,-14.879,True
ET_01,other,0.37,-0.02775,0.25865,0.89468,-26.341,7.176,-14.379,True
ET_01,other,0.38,0.00749,0.31346,0.89755,-19.476,16.248,-9.447,True
ET_01,other,0.39,0.09942,0.35661,0.91576,-7.076,20.494,-3.165,True
ET_01,other,0.4,0.24852,0.34742,0.96796,7.709,20.652,3.047,True
ET_01,other,0.41000000000000003,0.31685,0.31277,1.00487,19.212,16.584,9.983,True
ET_01,other,0.42,0.37632,0.2544,1.00996,27.757,8.067,13.916,True
ET_01,other,0.43,0.38665,0.18056,1.01875,31.66,-1.725,15.001,True
ET_01,other,0.44,0.35941,0.09625,1.01802,25.038,-11.646,13.335,True
ET_01,other,0.45,0.26598,0.07027,1.00505,16.332,-18.55,8.141,True
ET_01,other,0.46,0.16131,0.02876,0.98738,1.842,-20.836,0.326,True
ET_01,other,0.47000000000000003,0.08994,0.05978,0.89511,-12.7,-21.514,-6.818,True
ET_01,other,0.48,0.00809,0.11647,0.87939,-24.189,-15.41,-10.857,True
ET_01,other,0.49,-0.04749,0.16975,0.86535,-29.374,-4.212,-14.956,True
ET_01,other,0.5,-0.01723,0.26122,0.8644,-29.399,6.105,-14.492,True
ET_01,other,0.51,0.00439,0.31913,0.86463,-22.885,14.924,-11.557,True
ET_01,other,0.52,0.08534,0.39023,0.90052,-10.051,20.791,-6.539,True
ET_01,other,0.53,0.19444,0.35153,0.94001,3.622,21.389,2.231,True
ET_01,other,0.54,0.2931,0.3232,1.00224,18.242,17.844,9.189,True
ET_01,other,0.55,0.35404,0.26205,1.02773,27.291,10.394,14.047,True
ET_01,other,0.56,0.41454,0.19054,1.02141,28.695,0.73,16.642,True
ET_01,other,0.5700000000000001,0.38524,0.13361,1.02266,27.709,-9.683,14.34,True
ET_01,other,0.58,0.29612,0.06506,0.98844,16.83,-18.798,8.858,True
ET_01,other,0.59,0.17753,0.06448,0.93681,3.528,-22.25,3.29,True
ET_01,other,0.6,0.11658,0.04874,0.92813,-10.22,-21.494,-6.754,True
ET_01,other,0.61,0.01473,0.09106,0.88455,-23.151,-16.707,-11.769,True
ET_01,other,0.62,-0.0527,0.15348,0.85941,-29.54,-5.817,-16.895,True
ET_01,other,0.63,-0.0338,0.23012,0.83571,-30.771,4.348,-15.412,True
ET_01,other,0.64,-0.01997,0.30656,0.86871,-23.914,14.493,-11.713,True
ET_01,other,0.65,0.13706,0.38027,0.902,-13.675,21.807,-6.205,True
ET_01,other,0.66,0.17652,0.36194,0.95156,2.566,23.969,0.515,True
ET_01,other,0.67,0.27693,0.356,1.00218,15.861,19.213,8.143,True
ET_01,other,0.68,0.35607,0.3378,1.03682,27.994,12.428,14.685,True
ET_01,other,0.6900000000000001,0.39288,0.23788,1.02437,32.507,2.427,14.239,True
ET_01,other,0.7000000000000001,0.37488,0.16832,1.0095,27.824,-7.625,13.308,True
ET_01,other,0.71,0.35779,0.09292,1.00484,19.885,-17.242,9.901,True
ET_01,other,0.72,0.2007,0.02877,0.94579,6.823,-22.286,2.896,True
ET_01,other,0.73,0.12349,0.04195,0.94611,-8.27,-21.597,-4.369,True
ET_01,other,0.74,0.04167,0.08299,0.86465,-21.339,-17.798,-11.903,True
ET_01,other,0.75,-0.052,0.14438,0.866,-27.763,-8.751,-14.417,True
ET_01,other,0.76,-0.0496,0.23244,0.85383,-30.276,2.638,-14.895,True
ET_01,other,0.77,0.00738,0.29706,0.87024,-25.887,13.278,-14.097,True
ET_01,other,0.78,0.07293,0.37209,0.90725,-14.911,21.593,-8.653,True
ET_01,other,0.79,0.18943,0.37899,0.90563,-2.022,23.455,-2.497,True
ET_01,other,0.8,0.27918,0.35224,0.96943,13.601,20.031,6.561,True
ET_01,other,0.81,0.35196,0.3274,1.00686,25.575,14.381,13.463,True
ET_01,other,0.8200000000000001,0.41877,0.21607,1.01253,31.147,5.268,16.613,True
ET_01,other,0.8300000000000001,0.39129,0.14481,1.01175,30.422,-8.134,14.481,True
ET_01,other,0.84,0.33478,0.11015,1.02502,20.676,-16.099,9.742,True
ET_01,other,0.85,0.25074,0.05635,0.97079,10.037,-22.086,5.243,True
ET_01,other,0.86,0.13837,0.05445,0.89916,-5.132,-24.036,-3.519,True
ET_01,other,0.87,0.04098,0.05513,0.89701,-19.829,-19.522,-8.836,True
ET_01,other,0.88,-0.02838,0.16718,0.84951,-30.197,-8.652,-14.955,True
ET_01,other,0.89,-0.04745,0.21847,0.85053,-33.04,1.791,-14.392,True
ET_01,other,0.9,-0.0424,0.29502,0.88696,-29.084,12.198,-13.758,True
ET_01,other,0.91,0.04904,0.36467,0.89002,-17.846,20.152,-8.604,True
ET_01,other,0.92,0.13612,0.3844,0.91313,-3.88,23.973,-0.209,True
ET_01,other,0.93,0.27385,0.35017,0.95358,11.447,21.922,6.348,True
ET_01,other,0.9400000000000001,0.36067,0.33086,0.99379,24.758,14.953,12.735,True
ET_01,other,0.9500000000000001,0.41353,0.2458,1.01204,31.33,6.951,15.848,True
ET_01,other,0.96,0.38931,0.18599,1.04075,32.941,-5.163,15.331,True
