subject_id,label,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,is_synthetic
HC_05,healthy,0.0,0.14732,0.22171,0.95372,0.411,0.196,0.333,True
HC_05,healthy,0.01,0.16478,0.23196,0.9265,0.83,-1.584,1.141,True
HC_05,healthy,0.02,0.16407,0.17777,0.93704,-0.407,-0.349,1.698,True
HC_05,healthy,0.03,0.15308,0.2001,0.96122,-0.882,-0.309,1.215,True
HC_05,healthy,0.04,0.15416,0.18517,0.92939,-0.085,-0.98,0.435,True
HC_05,healthy,0.05,0.16041,0.18938,0.95507,0.129,0.601,0.756,True
HC_05,healthy,0.06,0.14427,0.20801,0.93761,0.979,0.084,-1.532,True
HC_05,healthy,0.07,0.11175,0.20792,0.95212,-0.079,0.24,-1.68,True
HC_05,healthy,0.08,0.14135,0.19984,0.96601,0.365,0.223,-2.454,True
HC_05,healthy,0.09,0.18434,0.19873,0.95309,1.129,-0.65,-2.121,True
HC_05,healthy,0.1,0.1658,0.24658,0.92984,-1.503,0.038,-0.475,True
HC_05,healthy,0.11,0.16304,0.23443,0.95761,-1.251,0.437,1.173,True
HC_05,healthy,0.12,0.17916,0.18425,0.95514,0.51,-0.201,1.314,True
HC_05,healthy,0.13,0.16218,0.22544,0.96015,-0.534,0.284,1.879,True
HC_05,healthy,0.14,0.16376,0.18513,0.98628,-0.504,-0.006,0.688,True
HC_05,healthy,0.15,0.14353,0.1964,0.95972,0.327,0.241,-1.518,True
HC_05,healthy,0.16,0.14278,0.19519,0.96603,0.455,-1.069,-1.698,True
HC_05,healthy,0.17,0.15477,0.20929,0.96173,0.623,-0.546,-1.076,True
HC_05,healthy,0.18,0.14631,0.22412,0.95642,-1.274,-0.013,0.288,True
HC_05,healthy,0.19,0.18023,0.20041,0.94746,-0.448,-0.352,0.505,True
HC_05,healthy,0.2,0.14468,0.21757,0.93931,0.95,0.037,-0.53,True
HC_05,healthy,0.21,0.16372,0.23249,0.96168,-1.489,-0.548,1.094,True
HC_05,healthy,0.22,0.18108,0.19822,0.92725,0.503,-0.802,2.35,True
HC_05,healthy,0.23,0.16994,0.21402,0.96278,0.289,-0.878,1.811,True
HC_05,healthy,0.24,0.13788,0.1801,0.96848,-0.172,0.679,1.06,True
HC_05,healthy,0.25,0.13831,0.18223,0.92382,0.591,-0.828,-0.532,True
HC_05,healthy,0.26,0.12387,0.17811,0.97094,0.241,-0.884,-0.477,True
HC_05,healthy,0.27,0.15679,0.18997,0.94758,1.09,0.037,-1.309,True
HC_05,healthy,0.28,0.10564,0.2189,0.96553,0.836,-0.265,-0.92,True
HC_05,healthy,0.29,0.17652,0.23241,0.94106,0.735,0.721,-1.716,True
HC_05,healthy,0.3,0.14816,0.22927,0.94226,0.107,0.674,0.735,True
HC_05,healthy,0.31,0.19314,0.21113,0.94137,0.357,1.049,1.658,True
HC_05,healthy,0.32,0.19078,0.20835,0.96159,-0.632,0.133,1.724,True
HC_05,healthy,0.33,0.15315,0.19781,0.94275,0.266,-1.401,1.318,True
HC_05,healthy,0.34,0.19074,0.17881,0.93203,0.815,0.385,1.171,True
HC_05,healthy,0.35000000000000003,0.16197,0.20447,0.95212,1.031,-0.009,-0.817,True
HC_05,healthy,0.36,0.12816,0.18092,0.93241,-0.112,0.002,-2.232,True
HC_05,healthy,0.37,0.15838,0.22367,0.96879,2.835,1.306,-3.315,True
HC_05,healthy,0.38,0.12543,0.1988,0.95199,-0.71,0.692,-1.741,True
HC_05,healthy,0.39,0.14217,0.22577,0.95657,0.622,-0.624,-0.897,True
HC_05,healthy,0.4,0.16071,0.21819,0.93747,-0.124,-0.588,0.096,True
HC_05,healthy,0.41000000000000003,0.18101,0.20142,0.96417,1.392,0.051,2.318,True
HC_05,healthy,0.42,0.18386,0.22239,0.95158,0.802,0.19,1.361,True
HC_05,healthy,0.43,0.17739,0.17385,0.96393,0.72,-0.449,0.754,True
HC_05,healthy,0.44,0.15305,0.18918,0.93116,0.165,-0.604,-0.062,True
HC_05,healthy,0.45,0.14476,0.1922,0.95056,0.606,1.313,-0.96,True
HC_05,healthy,0.46,0.12786,0.19523,0.96674,-0.265,-1.762,-2.525,True
HC_05,healthy,0.47000000000000003,0.14814,0.20034,0.92957,0.191,-0.708,-1.176,True
HC_05,healthy,0.48,0.14619,0.21774,0.95751,-0.408,-0.529,-0.358,True
HC_05,healthy,0.49,0.16804,0.21836,0.94281,-0.246,0.464,0.416,True
HC_05,healthy,0.5,0.1818,0.26057,0.9339,1.082,0.955,1.778,True
HC_05,healthy,0.51,0.18554,0.19905,0.92516,0.137,-0.865,-0.145,True
HC_05,healthy,0.52,0.20989,0.18345,0.95137,0.951,0.135,0.651,True
HC_05,healthy,0.53,0.16404,0.19465,0.93878,-1.291,1.131,-0.12,True
HC_05,healthy,0.54,0.16656,0.18663,0.92964,-1.067,-0.591,-0.692,True
HC_05,healthy,0.55,0.15632,0.22035,0.96177,-1.086,0.914,0.707,True
HC_05,healthy,0.56,0.13571,0.19611,0.91165,-0.516,0.379,-0.901,True
HC_05,healthy,0.5700000000000001,0.15094,0.239,0.96864,-0.316,1.105,-2.159,True
HC_05,healthy,0.58,0.15461,0.22015,0.95472,0.907,0.439,2.103,True
HC_05,healthy,0.59,0.1539,0.22311,0.94048,1.766,-0.703,1.952,True
HC_05,healthy,0.6,0.21228,0.2302,0.9444,-0.124,0.43,1.057,True
HC_05,healthy,0.61,0.17317,0.22964,0.94869,-0.169,-0.068,2.421,True
HC_05,healthy,0.62,0.15879,0.20186,0.95767,0.328,-0.43,0.882,True
HC_05,healthy,0.63,0.19841,0.18168,0.97612,-0.634,-0.091,-0.302,True
HC_05,healthy,0.64,0.1593,0.20106,0.93612,-0.71,-1.576,-0.673,True
HC_05,healthy,0.65,0.17323,0.20342,0.9205,-0.228,0.047,-1.572,True
HC_05,healthy,0.66,0.21564,0.21893,0.95237,0.472,0.388,-3.178,True
HC_05,healthy,0.67,0.13175,0.22551,0.92414,0.983,0.382,-0.989,True
HC_05,healthy,0.68,0.17635,0.22159,0.92544,0.436,1.066,0.371,True
HC_05,healthy,0.6900000000000001,0.16906,0.26258,0.95489,-0.254,-0.156,1.189,True
HC_05,healthy,0.7000000000000001,0.18632,0.2149,0.92449,-0.6,0.395,1.481,True
HC_05,healthy,0.71,0.22885,0.20593,0.95597,0.015,0.382,1.567,True
HC_05,healthy,0.72,0.17128,0.20218,0.94212,-0.318,-0.99,0.865,True
HC_05,healthy,0.73,0.1394,0.19721,0.93607,0.468,-0.232,-0.564,True
HC_05,healthy,0.74,0.15613,0.20509,0.94171,0.3,-1.039,-0.853,True
